"year","post.mean","post.SD","post.025","post.975"
1980,0.180235253303697,0.0168702590746735,0.147360521076872,0.213322019865316
1981,0.229286392577602,0.016641226060038,0.196562925724302,0.261938147568321
1982,0.0572860524041486,0.017508072977678,0.0232402827581646,0.0919760364396318
1983,0.221814691907039,0.0169399689751698,0.18828250042959,0.255357457814721
1984,0.060147342113043,0.0168757798245446,0.0271242819520657,0.0933105185740019
1985,0.0443444599736366,0.0168573707008308,0.0108290676604652,0.0773008157219178
1986,0.107824443943604,0.0166553923911439,0.0750510562455578,0.140274649104515
1987,0.24763459814365,0.0166426729917303,0.214625949974584,0.280184807037216
1988,0.28055985489218,0.0170385961383514,0.247435188491008,0.314289163870401
1989,0.18768359108951,0.0172113400796626,0.153907696119317,0.222054912342769
1990,0.353338584385843,0.0172144765833156,0.319439517768672,0.387043996540204
1991,0.325676305828375,0.0173038659745083,0.291768386850152,0.360339079588032
1992,0.149419473136674,0.0174389809732913,0.115746990719277,0.18368466332551
1993,0.174617084708647,0.0175477100298965,0.140205836296468,0.21012845077607
1994,0.250497437023516,0.0176553742330817,0.215250058580259,0.284871560316452
1995,0.376765739502174,0.0174728914697942,0.342977374273539,0.411480901595357
1996,0.274630804645877,0.0177794852808502,0.240266192863188,0.309652603350827
1997,0.418998778071716,0.0171224221552334,0.38531430042787,0.452519296059786
1998,0.561740324425693,0.0173957782166217,0.527205444380502,0.595276124174985
1999,0.340384095792447,0.0176106016000449,0.305734243061259,0.37486394704793
2000,0.340748757721024,0.0173052458490904,0.306791376710824,0.374733651053957
2001,0.480864011451847,0.0170570284348165,0.446703371333205,0.513674260375334
2002,0.55550571601625,0.0172779415003454,0.521788658794585,0.589149958986417
2003,0.549277526586418,0.0170814793815491,0.515702860112787,0.582656856026084
2004,0.476716594405373,0.0169577518730755,0.443028146959129,0.51004696178107
2005,0.612555443083916,0.0171554353320278,0.57881685128318,0.646571430606034
2006,0.579531787680871,0.0171693959274803,0.546172434617671,0.613546052981531
2007,0.584613147034158,0.0174833200876492,0.550527290217254,0.618799285342614
